,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,0,20,19.0,0,0.8,3,True,0.001
0,1,15,14.0,0,0.8,3,True,0.001
0,2,36,35.0,6.0645952224731445,0.8,3,True,0.001
0,3,28,27.0,2.1612584590911865,0.8,3,True,0.001
0,4,14,13.0,1.4209444522857666,0.8,3,True,0.001
0,5,35,34.0,0.7160525918006897,0.8,3,True,0.001
0,6,16,15.0,1.004974365234375,0.8,3,True,0.001
0,7,18,17.0,0.3900538384914398,0.8,3,True,0.001
0,8,18,17.0,0.662259578704834,0.8,3,True,0.001
0,9,28,27.0,0.4966302514076233,0.8,3,True,0.001
0,10,35,34.0,0.2939663231372833,0.8,3,True,0.001
0,11,31,30.0,0.3158394992351532,0.8,3,True,0.001
0,12,34,33.0,0.4686250388622284,0.8,3,True,0.001
0,13,45,44.0,0.20625676214694977,0.8,3,True,0.001
0,14,104,103.0,0.14717264473438263,0.8,3,True,0.001
0,15,40,39.0,0.38898420333862305,0.8,3,True,0.001
0,16,92,91.0,0.10254138708114624,0.8,3,True,0.001
0,17,67,66.0,0.1882801204919815,0.8,3,True,0.001
0,18,97,96.0,0.06339023262262344,0.8,3,True,0.001
0,19,114,113.0,0.05536568537354469,0.8,3,True,0.001
0,20,98,97.0,0.14756131172180176,0.8,3,True,0.001
0,21,99,98.0,0.05756877362728119,0.8,3,True,0.001
0,22,160,159.0,0.055263496935367584,0.8,3,True,0.001
0,23,133,132.0,0.03019886650145054,0.8,3,True,0.001
0,24,174,173.0,0.06913068890571594,0.8,3,True,0.001
0,25,115,114.0,0.043485675007104874,0.8,3,True,0.001
0,26,166,165.0,0.18120595812797546,0.8,3,True,0.001
0,27,89,88.0,0.14518555998802185,0.8,3,True,0.001
0,28,201,200.0,0.02315639518201351,0.8,3,True,0.001
0,29,157,156.0,0.1384631097316742,0.8,3,True,0.001
0,30,93,92.0,0.029034797102212906,0.8,3,True,0.001
0,31,107,106.0,0.018700426444411278,0.8,3,True,0.001
0,32,99,98.0,0.008663708344101906,0.8,3,True,0.001
0,33,170,169.0,0.021888453513383865,0.8,3,True,0.001
0,34,105,104.0,0.10300398617982864,0.8,3,True,0.001
0,35,123,122.0,0.0077290721237659454,0.8,3,True,0.001
0,36,100,99.0,0.05304178595542908,0.8,3,True,0.001
0,37,95,94.0,0.1087256371974945,0.8,3,True,0.001
0,38,123,122.0,0.009843038395047188,0.8,3,True,0.001
0,39,201,200.0,0.0112011032178998,0.8,3,True,0.001
0,40,94,93.0,0.010267049074172974,0.8,3,True,0.001
0,41,103,102.0,0.05309977009892464,0.8,3,True,0.001
