,episode,duration,G,loss,gamma,n_step,semi_gradient,alpha
0,0,10,0.0,0,0.8,1,False,1e-05
0,1,5,0.0,0,0.8,1,False,1e-05
0,2,23,0.0,0,0.8,1,False,1e-05
0,3,9,0.0,0,0.8,1,False,1e-05
0,4,3,0.0,0,0.8,1,False,1e-05
0,5,5,0.0,0,0.8,1,False,1e-05
0,6,9,0.0,0,0.8,1,False,1e-05
0,7,9,0.0,0.005121064838021994,0.8,1,False,1e-05
0,8,11,0.0,0.005329872947186232,0.8,1,False,1e-05
0,9,31,0.0,0.005560270976275206,0.8,1,False,1e-05
0,10,9,0.0,0.006343239918351173,0.8,1,False,1e-05
0,11,5,0.0,0.0055202762596309185,0.8,1,False,1e-05
0,12,17,1.0,0.019578397274017334,0.8,1,False,1e-05
0,13,7,0.0,0.020850498229265213,0.8,1,False,1e-05
0,14,10,0.0,0.006252381484955549,0.8,1,False,1e-05
0,15,18,0.0,0.020123280584812164,0.8,1,False,1e-05
0,16,7,0.0,0.0057724397629499435,0.8,1,False,1e-05
0,17,13,0.0,0.007234605960547924,0.8,1,False,1e-05
0,18,3,0.0,0.02010643295943737,0.8,1,False,1e-05
0,19,5,0.0,0.005651470273733139,0.8,1,False,1e-05
0,20,5,0.0,0.004930109716951847,0.8,1,False,1e-05
0,21,5,0.0,0.0037165614776313305,0.8,1,False,1e-05
0,22,21,0.0,0.004742959514260292,0.8,1,False,1e-05
0,23,7,0.0,0.004110476467758417,0.8,1,False,1e-05
0,24,15,0.0,0.005042031407356262,0.8,1,False,1e-05
0,25,3,0.0,0.005891040433198214,0.8,1,False,1e-05
0,26,3,0.0,0.01951524429023266,0.8,1,False,1e-05
0,27,3,0.0,0.005956890992820263,0.8,1,False,1e-05
0,28,10,0.0,0.01907486468553543,0.8,1,False,1e-05
0,29,15,1.0,0.019400374963879585,0.8,1,False,1e-05
0,30,6,0.0,0.019133929163217545,0.8,1,False,1e-05
0,31,7,0.0,0.004288239870220423,0.8,1,False,1e-05
0,32,3,0.0,0.0042036897502839565,0.8,1,False,1e-05
0,33,6,0.0,0.01874583587050438,0.8,1,False,1e-05
0,34,14,0.0,0.0037900477182120085,0.8,1,False,1e-05
0,35,10,0.0,0.004334624856710434,0.8,1,False,1e-05
0,36,7,0.0,0.005298101808875799,0.8,1,False,1e-05
0,37,4,0.0,0.004564742092043161,0.8,1,False,1e-05
0,38,10,0.0,0.01714976876974106,0.8,1,False,1e-05
0,39,3,0.0,0.003946106880903244,0.8,1,False,1e-05
0,40,6,0.0,0.005085906945168972,0.8,1,False,1e-05
0,41,7,0.0,0.005378040485084057,0.8,1,False,1e-05
0,42,4,0.0,0.0036183008924126625,0.8,1,False,1e-05
0,43,11,0.0,0.017948679625988007,0.8,1,False,1e-05
0,44,29,0.0,0.003986754920333624,0.8,1,False,1e-05
0,45,3,0.0,0.003932840656489134,0.8,1,False,1e-05
0,46,7,0.0,0.004436941351741552,0.8,1,False,1e-05
0,47,9,0.0,0.0029271712992340326,0.8,1,False,1e-05
0,48,4,0.0,0.0027913511730730534,0.8,1,False,1e-05
0,49,4,0.0,0.0032489588484168053,0.8,1,False,1e-05
0,50,16,0.0,0.00398582499474287,0.8,1,False,1e-05
0,51,34,0.0,0.0030462450813502073,0.8,1,False,1e-05
0,52,10,0.0,0.003242255188524723,0.8,1,False,1e-05
0,53,19,0.0,0.0035105496644973755,0.8,1,False,1e-05
0,54,10,0.0,0.017486462369561195,0.8,1,False,1e-05
0,55,9,0.0,0.0029823395889252424,0.8,1,False,1e-05
0,56,9,0.0,0.0031351810321211815,0.8,1,False,1e-05
0,57,7,0.0,0.01718565635383129,0.8,1,False,1e-05
0,58,8,0.0,0.030511222779750824,0.8,1,False,1e-05
0,59,6,0.0,0.0025960407219827175,0.8,1,False,1e-05
0,60,24,0.0,0.0031711836345493793,0.8,1,False,1e-05
0,61,11,0.0,0.002864003647118807,0.8,1,False,1e-05
0,62,10,0.0,0.002699723234400153,0.8,1,False,1e-05
0,63,16,0.0,0.0034761992283165455,0.8,1,False,1e-05
0,64,6,0.0,0.002943413332104683,0.8,1,False,1e-05
0,65,11,0.0,0.0026754175778478384,0.8,1,False,1e-05
0,66,14,0.0,0.017460064962506294,0.8,1,False,1e-05
0,67,5,0.0,0.002130126114934683,0.8,1,False,1e-05
0,68,5,0.0,0.031181959435343742,0.8,1,False,1e-05
0,69,11,1.0,0.002704893471673131,0.8,1,False,1e-05
0,70,6,0.0,0.03427557647228241,0.8,1,False,1e-05
0,71,4,0.0,0.002510765800252557,0.8,1,False,1e-05
0,72,16,0.0,0.002346351044252515,0.8,1,False,1e-05
0,73,8,0.0,0.016591647639870644,0.8,1,False,1e-05
0,74,19,0.0,0.019946306943893433,0.8,1,False,1e-05
